rosbagTimestamp,data
1665094043694642458,64094208
1665094044719059916,64094208
1665094045738681110,64094208
1665094046784605416,66482176
1665094047805729469,68501504
1665094048830251851,68546560
1665094049868262036,72523776
1665094050900915855,68571136
1665094051924359615,68767744
1665094052952151209,68902912
1665094053980598163,69160960
1665094055013885019,71430144
1665094056043315983,71041024
1665094057067198171,70995968
1665094058092937783,69091328
1665094059122285401,69259264
1665094060148969690,71626752
1665094061186230502,72421376
1665094062213082354,69148672
1665094063237272719,69181440
1665094064267842250,69099520
1665094065305501121,71286784
1665094066336685695,69062656
1665094067368245112,69398528
1665094068393758011,69169152
1665094069423619215,71122944
1665094070458279239,70664192
1665094071491137359,69316608
1665094072516859492,69414912
1665094073544218400,69398528
1665094074586885110,71057408
1665094075619168957,71204864
1665094076655488394,69181440
1665094077672935075,69156864
1665094078707362612,70549504
1665094079734822074,69427200
1665094080758102637,71147520
1665094081780750680,71127040
1665094082811361123,69296128
1665094083831386699,69353472
1665094084876716142,71188480
1665094085909662732,69406720
1665094086937722654,69246976
1665094087963621093,69378048
1665094088989093198,69308416
1665094090017158713,71155712
1665094091050331715,69320704
1665094092075596857,69341184
1665094093108333567,71118848
1665094094140556078,71712768
1665094095182213526,69349376
1665094096214030129,69292032
1665094097243336216,69234688
1665094098274542129,71680000
1665094099306883879,69238784
1665094100336406115,69369856
1665094101374007737,69468160
1665094102402311386,70967296
1665094103432546231,71041024
1665094104462186905,71471104
1665094105488775678,69324800
1665094106517433036,68837376
1665094107554084688,70467584
1665094108589307228,68993024
1665094109616077790,68820992
1665094110645097997,68890624
1665094111667232969,68915200
1665094112698809113,72192000
1665094113735569426,70778880
1665094114776119293,68972544
1665094115809576141,69263360
1665094116844728036,72380416
1665094117875368038,69259264
1665094118892314703,69263360
1665094119923323420,69042176
1665094120954770707,69283840
1665094121997251403,72990720
1665094123024155351,69156864
1665094124053522963,69046272
1665094125083328553,69120000
1665094126118365253,71098368
1665094127150131744,69136384
1665094128175496977,71131136
1665094129198338366,71782400
1665094130226985562,71184384
1665094131268867510,71929856
1665094132307959226,69386240
1665094133348054194,71065600
1665094134378048065,71348224
1665094135409229569,71290880
1665094136447619523,69439488
1665094137481258822,69361664
1665094138505578644,70692864
1665094139541700113,73072640
1665094140573510227,69455872
1665094141613628613,69447680
1665094142643373312,70324224
1665094143676380652,70963200
1665094144719345275,69406720
1665094145743175400,71270400
1665094146779947165,70647808
1665094147813464955,71008256
1665094148842552880,68284416
1665094149869934091,68956160
1665094150903985513,68788224
1665094151948707258,70799360
1665094152976501835,70807552
1665094154003306914,71122944
1665094155038117321,69603328
1665094156079500743,71880704
1665094157115548559,71094272
1665094158164624845,69443584
1665094159215196993,71139328
1665094160248754281,69439488
1665094161286802410,69496832
1665094162321071240,71970816
1665094163370487204,69607424
1665094164394706311,69734400
1665094165418142618,69578752
1665094166460662053,71921664
1665094167491922862,71479296
1665094168514448567,69357568
1665094169559012762,69582848
1665094170594837524,71335936
1665094171626101035,71192576
1665094172653151580,71344128
1665094173676288967,71335936
1665094174719830034,69926912
1665094175747511587,70721536
1665094176775899064,68935680
1665094177806577977,69320704
1665094178834369945,69070848
1665094179863583047,70766592
1665094180915834549,70979584
1665094181953984646,69361664
1665094182985980475,69378048
1665094184017846360,72581120
1665094185050892692,69398528
1665094186084137694,69431296
1665094187120291341,69844992
1665094188155380372,72282112
1665094189200273451,69386240
1665094190238684799,69378048
1665094191272412929,72683520
1665094192305287182,69447680
1665094193333295548,69472256
1665094194366904646,69693440
1665094195410800471,71131136
1665094196445978707,69476352
1665094197471976490,71327744
1665094198506354331,71057408
1665094199544719015,71536640
1665094200582684642,70709248
1665094201611654650,68829184
1665094202642119582,68759552
1665094203699203750,71761920
1665094204731436039,68878336
1665094205769908463,70643712
1665094206801391245,72384512
1665094207847811535,70930432
1665094208876393125,69148672
1665094209922210357,71229440
1665094210955237842,70680576
1665094211986806724,69275648
1665094213023666701,69750784
1665094214058689305,71004160
1665094215098731182,69099520
1665094216126483347,70959104
1665094217160240343,69181440
1665094218187566321,70950912
1665094219240773726,71483392
1665094220265632038,70938624
1665094221295569397,69017600
1665094222341236465,70914048
1665094223371445695,70905856
1665094224408608774,69234688
1665094225441371828,69328896
1665094226475771155,70537216
1665094227514256858,68759552
1665094228539740266,68694016
