Time,X,Y,Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W
1732312852.17597,0.021180939755450528,-0.04749587394270413,0.024670746178715713,0.022712657129137913,0.004405888124939191,0.005141043475218282,0.9433489018758109
1732312852.27719,0.08503827177816595,-0.0614981480393774,-0.03054638203944478,-0.0026238867652197237,0.009794486222438878,-0.0017893331831301366,0.9867869729980014
1732312852.37665,0.21062066623370457,-0.05256255122220854,-0.04450473057484824,-0.01325143068067559,0.012797547631388224,0.0034163752065666866,1.0136528204652944
1732312852.48537,0.2870486265710823,-0.02887140814806595,0.04811008845165451,0.006953190095818421,0.0319785437023437,-0.004596275737538659,1.0094832490608137
1732312852.59055,0.3588475581537025,-0.03799297449588304,-0.007271969293978175,0.03692476538646743,0.0016633025559600284,-0.006480697713588054,1.0211899402297009
1732312852.67965,0.48323293152158453,-0.006948152014631137,-0.00034159854526827,-0.02270402675676155,0.00010890944191426725,-0.02920204293622871,0.9610201824070148
1732312852.79552,0.5524387366324828,0.01420802399525765,-0.033236088804054376,-0.022092621064808884,0.015821842233133605,-0.07270634849318834,1.0540022122388006
1732312852.8897,0.6339628450690639,0.0022771208552582775,-0.09392697041647087,-0.02727256156808294,0.0037974926807496593,-0.04012367263553255,1.0004201787606497
1732312852.98214,0.7326730094029715,-0.013446405766704368,-0.04975609809288187,0.0330122741987562,0.0039019851417618524,-0.08342542544221576,1.0128319469609297
1732312853.09314,0.8945783228598259,-0.0020819282191531473,-0.03340123893045394,-0.034864597947165815,-0.00035507323083562234,-0.03959931096772992,1.0340482789915526
1732312853.19188,0.9383365781507083,-0.037503857357666544,-0.0177783071520521,-0.06353421823504724,-0.045856103238278254,-0.07624619381958626,1.0747896433052568
1732312853.28671,1.0100847446611403,-0.07290830906776151,-0.030155885106723474,0.0021703393920891076,-0.0495831997191051,-0.03431883820392994,1.0097633100532386
1732312853.38709,1.1164638513379748,-0.006025695935175414,-0.058628312028091795,0.018302917008495335,0.012630895347652306,-0.023010911240486764,0.9962074785368966
1732312853.49186,1.2254113921466714,-0.0801971595762726,-0.016161053780568604,0.006887344987485049,-0.0370054306654668,-0.060726851610002394,0.9749580625078706
1732312853.59043,1.2985659139409322,-0.025002665998800834,-0.039831746966095795,0.021870764268396445,0.07830760083630892,-0.007552600448559602,1.0331764782224597
1732312853.70154,1.4290487010404296,-0.06614924091593959,0.013340308602309503,-0.04391065391532021,-0.0133665869970873,-0.08396924981474793,1.0381859513997633
1732312853.78857,1.4458329390596025,-0.06563313954729906,-0.05570822427250254,-0.047585734754667215,0.02202383728792696,-0.006054343146710894,1.0087720898687051
1732312853.89119,1.6419532173611084,-0.054518773959301776,-0.042012507209811825,0.012217323639407297,0.007687623415547721,-0.05412595924700088,0.9556647866424492
1732312854.00219,1.6689794890652194,-0.01692810273217389,-0.06408424536172674,-0.0001698428222601158,-0.008218007146585177,-0.06268765414874138,0.9303382237238113
1732312854.08944,1.7641442393025228,0.0068365542517941705,-0.056602155400591596,-0.009662670215651446,-0.0030508640014824517,-0.09927428270252858,0.9843529281710455
1732312854.19747,1.8512606812140062,-0.01923929400757596,-0.0965659212881429,-0.017310590461693597,0.04167811062259305,-0.059535818900192675,0.9583587858228529
1732312854.3088,1.998481686453458,-0.06797054734596528,-0.1207427954103185,-0.03988542553139948,0.007251935322295799,-0.044581318767000194,1.026925896479134
1732312854.39731,2.0356755115494996,-0.01623369563236443,-0.11834442570158829,0.03548080542532194,0.003981441226002965,-0.042741777630144,0.9931136917897637
1732312854.49362,2.21269068720047,-0.07467749424874962,-0.08686975148041126,0.018458397767204565,0.0545839801239181,-0.018906760819706995,1.0000556048269431
1732312854.6019,2.2918124243736413,-0.037696513198191874,-0.08078168189625723,0.023994838357475123,0.0055358787847865935,-0.01918402427853127,0.9591709530415181
1732312854.69576,2.4128462829293142,-0.07595419103917474,-0.0774444477005504,0.017300503118104,-0.013909928159831168,0.0119790339769083,1.039775061861203
1732312854.79449,2.5219055951374347,-0.08875445424123617,-0.14880991246446063,0.04098434479490963,-0.00950177782923791,0.00016127901412012896,0.9300600485518381
1732312854.90115,2.518302781145178,-0.05698060531002354,-0.07036807131272821,-0.02953661961025282,0.05179733643901596,-0.08279953891901938,0.979442852552153
1732312855.00839,2.66178308811895,-0.1250772227687194,-0.11493483351259891,-0.040235161243908975,-0.0504931514374513,-0.0266241230261111,1.0139611280707643
1732312855.1123,2.6702557289664703,-0.0020765462012383848,-0.06394139009116365,-0.057761012533352994,-0.04368899948981656,-0.03437315657949247,0.9941248725910695
1732312855.19822,2.77200626978988,0.04842324421574198,-0.13199830127749987,0.0245964628453607,-0.009351805884403722,-0.04194801230446934,0.9651311014121544
1732312855.30564,2.8870733915886557,-0.016352439334835003,-0.12547353564975267,-0.0010961812715004756,0.01147808480465287,-0.0772721063646111,1.0252472546453422
1732312855.41462,2.9978535033782006,0.05379884152394944,-0.11395321478822835,0.0028147032134474264,-0.026546887569501056,-0.04309727699200332,0.9945123076634687
1732312855.51091,3.000859746910983,0.022066578163209675,-0.14292744876192479,0.033831074275066805,-0.005778558749542473,-0.037145507263609795,1.0056279205920065
1732312855.60482,3.156729548807129,0.010570022659675098,-0.11469640774139686,-0.011938816377238188,-0.0070782884096894086,-0.034087817769780725,0.9658331684724563
1732312855.70992,3.317049939247492,0.05062023040153196,-0.06251261387064798,0.008797151505909387,0.040666539461070274,-0.1144531597927923,0.9834830736295389
1732312855.80633,3.3438498908803544,0.00894369045959164,-0.1608122615832075,-0.0024058368307545586,0.02571095050784336,0.030480121074227685,1.0107084824080612
1732312855.90534,3.394459596662485,0.004836702803048876,-0.11790647150475259,-0.0006038777385937912,0.029935050367615047,-0.006414725089159589,0.9957954876083712
1732312856.00658,3.609001581913643,-0.030297964694081927,-0.17485408939865887,-0.00516882759241977,0.0357430536131239,0.01737853922443832,0.9629734900435638
1732312856.11855,3.7040225416651382,0.01984489352287598,-0.18391985504271458,0.005887301811143539,0.030272694545194382,-0.05214647013929711,1.0299258893698113
