Time,X,Y,Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W
1732315452.0802438,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1732315452.1887014,0.07969526286752611,-0.012681080615526263,0.0054819098648157295,0.0006178850718656048,0.0011703957790793389,0.0072394117684601205,0.9999729192878201
1732315452.2966459,0.15122227445959552,-0.019779320200619135,-0.0022466447621546136,-0.0005672810409217119,0.007930897012051363,0.016551989779713727,0.9998313911350939
1732315452.3915143,0.21055754008512498,-0.02953179652948218,-0.031244429375251598,-0.0008877313746181578,0.0007930809875753442,0.01924602153764095,0.9998140695201917
1732315452.5009048,0.27669017172237875,-0.03704562977496907,-0.020256324965276344,-0.002161490512577659,0.00714522509144372,0.018791509320882863,0.9997955555485335
1732315452.5994682,0.33900946007957844,-0.021756790785460965,0.00041257925017132435,-0.004832957453372336,0.006629290854077631,0.0162393386593407,0.9998344757533293
1732315452.6978528,0.4188658978905542,-0.01769336728855298,0.020451212483284503,-0.0043497320801234845,0.007323391311474961,0.010052383819287527,0.9999131949074792
1732315452.8016896,0.4846078004044579,-0.014670560785840774,-0.026601397564236635,-0.006970326421875777,0.007568004942293041,0.0013557959635008608,0.9999461493840932
1732315452.8941064,0.57040519851611,-0.011112711093795276,-0.046032990914487724,-0.008828449257953017,0.005414640353013765,-0.007873569095609033,0.9999153699505017
1732315452.9993038,0.6576182589036367,-0.01019195934622576,-0.05639628508167347,-0.005735115699284504,0.008807346188383408,-0.017403516613613234,0.9997933069942601
1732315453.11006,0.7466464550813154,-0.013255555726593224,-0.06654935457402936,-0.0037627728997612336,0.008030471684975761,-0.022902279818911818,0.9996983738326894
1732315453.2066789,0.8289993751204366,-0.00781836660596111,-0.03120540859647055,-0.0023201185053886267,0.008747491957769504,-0.02432040841701553,0.9996632513846884
1732315453.3056421,0.9189808876962413,-0.004005840935386159,-0.00014036750883657245,-0.0021644349704886094,0.0069112398296940665,-0.021449153702468676,0.9997437090528406
1732315453.4020731,1.0103168708438999,-0.009599020266455108,-0.019657775691751145,-0.00553165760314882,0.0045154229990633345,-0.016608904526304036,0.9998365646493158
1732315453.5082424,1.1023470133267388,-0.015738201752835412,-0.024726668498562296,-0.006135557169066712,0.003760772214611144,-0.009705717982245867,0.9999270026202075
1732315453.608318,1.1971876029392432,-0.013731417908774532,-0.057248726120119685,-0.012018093510488815,0.007508668935741503,-0.005011841432932029,0.9998870270008743
1732315453.7066045,1.2934391619585561,-0.014361025498935039,-0.06586860944523623,-0.011225564743560588,0.007561064113641087,2.251215063071377e-05,0.9999084040545269
1732315453.8142893,1.393254377900689,-0.014484303650443215,-0.06990172277551313,-0.01167796076815351,0.009225912943739485,-0.0007757405291712966,0.9998889468282438
1732315453.9182656,1.4729542271265503,-0.005330239580114457,-0.09122865304521044,-0.013906797230305237,0.007483935128119501,-0.002625380669483938,0.9998718413287498
1732315454.0142515,1.5648567999863485,-0.0023329843815102775,-0.09262770156924005,-0.01096630044990812,0.0045044541680643365,-0.005794980906989411,0.9999129303811356
1732315454.111857,1.6501407198204954,0.00286071363528513,-0.10719761861918559,-0.011042627972104896,0.0033490196712559392,-0.016687274719778808,0.9997941684652649
1732315454.2093382,1.7421784094896673,0.016135229020761525,-0.13075265357371774,-0.011989701301220481,0.004136586140156086,-0.024681723246506092,0.9996148999766905
1732315454.3134398,1.8433371743961555,0.02468954515539043,-0.14115762679675603,-0.009468684411599563,0.00372252088111525,-0.03131551905203161,0.9994577655510611
1732315454.408542,1.9413273609861788,0.012090185415736022,-0.1650938216120466,-0.012408544439583408,0.004736994438158075,-0.029945751437060172,0.9994632764036251
1732315454.5123837,2.0265840819421768,0.013482824097439757,-0.1464008436220495,-0.011651461135608252,0.0032931036431943926,-0.02792830628815233,0.99953659694365
1732315454.617735,2.1270300639712967,0.011868423275830814,-0.13256549107706223,-0.013480929072121055,0.0017807947156085963,-0.021259435673976063,0.9996815141415673
1732315454.7163806,2.2231584453763054,0.014429294627173907,-0.15031054079864029,-0.013417971046656554,0.004621335640950026,-0.015777894297035945,0.9997748043241825
1732315454.824018,2.317674784372165,0.014733656646617264,-0.14250477327249683,-0.014163067470591456,0.006230373570844659,-0.009823495511746716,0.9998320303435699
1732315454.9214249,2.4099345695498777,0.02347365024923708,-0.15278055949015334,-0.019801504912296847,0.002869719026559587,-0.004040240697509323,0.9997916490804711
1732315455.0172389,2.5054614383819627,0.03201241009446468,-0.1481727220531091,-0.020066700604617543,0.005533882571380918,-0.00014050697343790004,0.9997833184887348
1732315455.1257675,2.5850546567128383,0.05093688457874673,-0.1831068058803152,-0.025292322013891345,-0.0010345989173227482,0.0006856141002418376,0.9996793275773779
1732315455.2233934,2.6782958376697263,0.06770549018471048,-0.1986881407481054,-0.021672445589828775,-0.0027551204643798495,-0.0022577328785469758,0.9997587794341488
1732315455.3167288,2.759340482110659,0.08743251998732493,-0.19516044802037222,-0.01960861452193211,-0.0019105083988108717,-0.008215381233020872,0.9997721538957821
1732315455.42525,2.8661096776376334,0.10010443686648518,-0.168638147743581,-0.016421219645546003,-0.001799093084016057,-0.012075076422877765,0.9997906277510489
1732315455.5215487,2.9433692821644915,0.11049954186191167,-0.2198213201816455,-0.017696974056017233,-0.0011567433067717736,-0.01743295417588309,0.9996907377598891
1732315455.6290677,3.037996800929833,0.11691755713806902,-0.22302440073361174,-0.01672097725307158,-0.0012694438980001956,-0.016848242575772485,0.9997174271533074
1732315455.7215571,3.131275317510785,0.11680770188164774,-0.21143826211534072,-0.016142202104484804,-0.004174775837125815,-0.0165083976487959,0.9997246987871341
1732315455.8247275,3.2190280372631097,0.12090469842755588,-0.21160391383985178,-0.013999932104144797,-0.0035722492548714286,-0.012074957803146609,0.9998227024480009
1732315455.9215672,3.3188209441158767,0.11446693673494004,-0.21519362553907267,-0.012857701852059466,-0.0028691390924858607,-0.005189477700503549,0.9998997534079005
1732315456.0261998,3.4183452310093516,0.1170041675997947,-0.23718184672714307,-0.014360635813424512,-0.0021168278122355626,0.00017907131651406782,0.9998946240042226
1732315456.1324158,3.534256039404687,0.13632885095584815,-0.21047178886844586,-0.014467383281492125,0.0009464696515847667,0.007242141132985774,0.9998686665797817
1732315456.2272303,3.6219243855293555,0.13336930141996942,-0.24920264198642347,-0.016351597303954017,0.0012473788206805692,0.004260380965406103,0.999856448929422
1732315456.3347764,3.72038068267068,0.15172519711897126,-0.27435674238910157,-0.019528682755907557,0.00370213910849035,0.008468002952065616,0.9997665815788616
1732315456.4357696,3.81222814314052,0.17598576010216385,-0.29845965318548984,-0.02337032193179875,0.001292895392360936,0.004452956675892999,0.9997161235326707
1732315456.5377786,3.9034628855840907,0.18516832491908802,-0.30889852634898546,-0.02184209258689051,-0.0012487981437208518,-0.0032711896437413266,0.9997553014678028
1732315456.6396542,4.003292218294304,0.19178950967432684,-0.3157042282360468,-0.020066621127620216,-0.0066627669419702315,-0.013154596376149382,0.9996898993425013
1732315456.7355762,4.085701308561052,0.19646482041753283,-0.3111074159229947,-0.014828104098633065,-0.0048822510801618925,-0.019152886466642285,0.9996946823371968
1732315456.8330107,4.190495993895752,0.19492436531262936,-0.3180975900609677,-0.01183597738405379,0.0023313875440782545,-0.022187495135119414,0.9996810437990491
1732315456.9371498,4.288273514920627,0.18329474635706822,-0.30562321140070425,-0.012896347795816056,-0.003266568059521664,-0.022590161281654145,0.9996562901117342
1732315457.0460858,4.386148128976102,0.17987006656271864,-0.31852065178539385,-0.011414224504060884,-0.0015573520581492893,-0.018771524402786965,0.9997574305826288
1732315457.141292,4.4831553901899515,0.17074833981743598,-0.3186477564863313,-0.014654264826113692,-0.006089480067542913,-0.016048789146668928,0.9997452711175414
1732315457.2392602,4.582414016973248,0.16909974585455267,-0.3215720980301339,-0.011976507991413976,-0.005369859404954661,-0.010914123697025178,0.9998542942700586
1732315457.3405259,4.678682479432604,0.16681226955081496,-0.31642747882673855,-0.013076313664256491,-0.006037522437934057,-0.010673557044395876,0.9998393038502911
1732315457.4326477,4.772267117523373,0.16322779363215706,-0.32422705720073736,-0.015172891285626468,-0.002805844285735931,-0.008605813180320795,0.9998439131121585
1732315457.536753,4.860939327390421,0.16520716315460027,-0.37305497168204105,-0.02086239364063287,-0.00516688776130975,-0.007974525444021953,0.9997372008415198
1732315457.6442063,4.96995236565918,0.16459611799868135,-0.3966921228385602,-0.02162203000913651,-0.009476269773136306,-0.011464147816659637,0.9996555714066514
1732315457.7387252,5.04750200088954,0.16432375403180915,-0.4167163709609844,-0.020471551850140143,-0.00949035810539022,-0.013956061858531692,0.9996479765424081
1732315457.8457966,5.14893160120802,0.15175345318218758,-0.4129066097126918,-0.020316840128377502,-0.009735156603579905,-0.01818066157836474,0.9995808703040125
1732315457.941047,5.2514887572538385,0.1466001859564582,-0.42321439586112874,-0.018306748584053407,-0.012014726782206712,-0.021089554162880896,0.9995377631695028
1732315458.050502,5.34560379459087,0.1385033093493528,-0.3866335811241052,-0.012824319352472975,-0.0074577112624876485,-0.02086483167656258,0.9996722353726918
1732315458.1445591,5.439719711170612,0.12683659421813334,-0.36951885188418465,-0.013612779719330625,-0.00569739895167308,-0.0163662310697693,0.9997571596913548
1732315458.2413564,5.5348776835495235,0.10869570514296735,-0.390093546529106,-0.012951220796185103,-0.008823313147438767,-0.0101732445062571,0.999825444825877
1732315458.346309,5.63062638922817,0.10130017614762798,-0.3836651221451598,-0.012680761541035205,-0.006989429806649115,-0.003783635521622381,0.9998880088589991
