,translation_err,orientation_err
0,2.9873901653449955,4.3272972000019116e-05
1,2.9888626599427415,4.3272972000019116e-05
2,3.071432890362412,4.3272972000019116e-05
3,3.1316130029108002,4.3272972000019116e-05
4,3.1321877338371658,4.3272972000019116e-05
5,3.144582643213563,4.3272972000019116e-05
6,3.228405179031901,4.3272972000019116e-05
7,3.3078542894148164,4.3272972000019116e-05
8,3.438444415720574,4.3272972000019116e-05
9,3.4977707186149294,4.3272972000019116e-05
10,3.525478690901421,4.3272972000019116e-05
11,3.5707002114431283,4.3272972000019116e-05
12,3.609432088293115,4.3272972000019116e-05
13,3.66192572289499,4.3272972000019116e-05
14,3.690541965619684,4.3272972000019116e-05
15,3.865164938265895,4.3272972000019116e-05
16,3.896703735210056,4.3272972000019116e-05
17,3.9683875818775562,4.3272972000019116e-05
18,4.042635279121775,4.3272972000019116e-05
19,4.098646117927236,4.3272972000019116e-05
20,4.156633253006572,4.3272972000019116e-05
21,4.206019495912971,4.3272972000019116e-05
22,4.243877943579433,4.3272972000019116e-05
23,4.38603465558584,4.3272972000019116e-05
24,4.386627406105971,4.3272972000019116e-05
25,4.423720153897622,4.3272972000019116e-05
26,4.480915085113754,4.3272972000019116e-05
27,4.515960584416122,4.3272972000019116e-05
28,4.579617887990219,4.3272972000019116e-05
29,4.613133425341174,4.3272972000019116e-05
30,4.6449757803458995,4.3272972000019116e-05
31,4.722393460947531,4.3272972000019116e-05
32,4.762467847660496,4.3272972000019116e-05
33,4.800281241760737,4.3272972000019116e-05
34,4.818142795725341,4.3272972000019116e-05
35,4.888885353534076,4.3272972000019116e-05
36,4.917021456125649,4.3272972000019116e-05
37,4.990200396777669,4.3272972000019116e-05
38,5.055620634501762,4.3272972000019116e-05
39,5.139513595662531,4.3272972000019116e-05
40,5.254160256406346,4.3272972000019116e-05
41,5.350037383046963,4.3272972000019116e-05
42,5.4532925833848305,4.3272972000019116e-05
43,5.515043064201766,4.3272972000019116e-05
44,5.574540339794843,4.3272972000019116e-05
45,5.58501566694311,4.3272972000019116e-05
46,5.622997421304762,4.3272972000019116e-05
47,5.670608432963785,4.3272972000019116e-05
48,5.725713929284278,4.3272972000019116e-05
49,5.774123310079203,4.3272972000019116e-05
50,5.8261994473241305,4.3272972000019116e-05
51,5.85375947575573,4.3272972000019116e-05
52,5.957600187995163,4.3272972000019116e-05
53,6.0165521688089765,4.3272972000019116e-05
54,6.060734278946735,4.3272972000019116e-05
55,6.116216150529672,4.3272972000019116e-05
56,6.204804589993145,4.3272972000019116e-05
57,6.306274653073714,4.3272972000019116e-05
58,6.383815473523652,4.3272972000019116e-05
59,6.517184975125381,4.3272972000019116e-05
60,6.586205280736396,4.3272972000019116e-05
61,6.615640558555158,4.3272972000019116e-05
62,6.700305963163175,4.3272972000019116e-05
63,6.799235251114642,4.3272972000019116e-05
64,6.865413316035678,4.3272972000019116e-05
65,6.938602164701475,4.3272972000019116e-05
66,7.005219482642924,4.3272972000019116e-05
67,7.118405720384305,4.3272972000019116e-05
68,7.230449501932781,4.3272972000019116e-05
69,7.229176993268321,4.3272972000019116e-05
70,7.275740512140327,4.3272972000019116e-05
71,7.344072439729881,4.3272972000019116e-05
72,7.392563831310487,4.3272972000019116e-05
73,7.409345450173045,4.3272972000019116e-05
74,7.5110385433706846,4.3272972000019116e-05
75,7.566326717767348,4.3272972000019116e-05
76,7.63537818316814,4.3272972000019116e-05
77,7.743003293296471,4.3272972000019116e-05
78,7.779678656602726,4.3272972000019116e-05
79,7.807291463753611,4.3272972000019116e-05
80,7.918869868863865,4.3272972000019116e-05
81,7.9841655794453565,4.3272972000019116e-05
82,8.050223599379088,4.3272972000019116e-05
83,8.099123409357336,4.3272972000019116e-05
84,8.197938765323878,4.3272972000019116e-05
85,8.247539026885535,4.3272972000019116e-05
86,8.318924209295334,4.3272972000019116e-05
87,8.384396221553464,4.3272972000019116e-05
88,8.468795664083531,4.3272972000019116e-05
89,8.590162978663443,4.3272972000019116e-05
90,8.737854427718512,4.3272972000019116e-05
91,8.835315500874884,4.3272972000019116e-05
92,8.91,4.3272972000019116e-05
93,8.921989688404711,4.3272972000019116e-05
94,8.9833011749579,4.3272972000019116e-05
95,9.063007227184585,4.3272972000019116e-05
96,9.169792800276351,4.3272972000019116e-05
97,9.340936783856316,4.3272972000019116e-05
98,9.394221628213803,4.3272972000019116e-05
99,9.476987918109847,4.3272972000019116e-05
100,9.48572084767415,4.3272972000019116e-05
101,9.569383470213742,4.3272972000019116e-05
102,9.678073155334173,4.3272972000019116e-05
103,9.758837020874976,4.3272972000019116e-05
104,9.933871350083008,4.3272972000019116e-05
105,9.96212828666646,4.3272972000019116e-05
106,10.013121391454316,4.3272972000019116e-05
107,10.058295084158148,4.3272972000019116e-05
108,10.103553830212416,4.3272972000019116e-05
109,10.225658902975397,4.3272972000019116e-05
110,10.247394790872459,4.3272972000019116e-05
111,10.345946065971928,4.3272972000019116e-05
112,10.354598012477355,4.3272972000019116e-05
113,10.41643893084388,4.3272972000019116e-05
114,10.480653605572508,4.3272972000019116e-05
115,10.536764209186805,4.3272972000019116e-05
116,10.588739301729928,4.3272972000019116e-05
117,10.701541944972229,4.3272972000019116e-05
118,10.76016263817606,4.3272972000019116e-05
119,10.809444944121783,4.3272972000019116e-05
120,10.896976644923125,4.3272972000019116e-05
121,11.002476993840977,4.3272972000019116e-05
122,11.13791722001919,4.3272972000019116e-05
123,11.261340950348675,4.3272972000019116e-05
124,11.353721856730505,4.3272972000019116e-05
125,11.449196478356026,4.3272972000019116e-05
