rosbagTimestamp,data
1663605288574473579,0.0
1663605289598157219,0.0
1663605290621998541,0.0
1663605291646665373,0.0
1663605292669054082,0.0
1663605293691914738,0.0
1663605294717116491,0.0
1663605295741632960,0.0
1663605296760063380,0.0
1663605297797174822,0.0
1663605298830095750,0.0
1663605299880273031,0.0
1663605300905653072,0.0
1663605301925784726,0.0
1663605302950534245,0.0
1663605303988829914,0.0
1663605305016093060,1.0
1663605306049173295,0.0
1663605307073443531,0.0
1663605308101708893,0.0
1663605309123198717,0.0
1663605310166897778,0.0
1663605311195769839,0.0
1663605312217010608,0.0
1663605313235019601,0.0
1663605314275488752,0.0
1663605315313935977,1.0
1663605316334298615,0.0
1663605317360235973,0.0
1663605318379607358,0.0
1663605319416499691,0.0
1663605320445408305,0.0
1663605321470472014,0.0
1663605322495198433,0.0
1663605323515978379,0.0
1663605324563729452,0.0
1663605325595642582,0.0
1663605326620631121,0.0
1663605327646217867,0.0
1663605328675387724,0.0
1663605329703361478,0.0
1663605330741308174,1.0
1663605331759674624,0.0
1663605332781132901,0.0
1663605333807641479,0.0
1663605334834217946,0.0
1663605335881369364,0.0
1663605336894701978,0.0
1663605337917372749,0.0
1663605338938650804,1.0
1663605339966286559,0.0
1663605341003016040,0.0
1663605342047989458,0.0
1663605343068546133,0.0
1663605344087983224,0.0
1663605345123986988,0.0
1663605346163901829,0.0
1663605347187244765,0.0
1663605348206093704,0.0
1663605349227559036,0.0
1663605350253643213,0.0
1663605351282283745,0.0
1663605352305915731,0.0
1663605353343941302,0.0
1663605354368824856,0.0
1663605355395154851,0.0
1663605356434870139,0.0
1663605357459584865,0.0
1663605358489640477,0.0
1663605359516473417,0.0
1663605360539467816,0.0
1663605361577222948,1.0
1663605362607161032,0.0
1663605363634004506,0.0
1663605364653904842,0.0
1663605365677156763,1.0
1663605366723025201,0.0
1663605367761163776,0.0
1663605368782702600,0.0
1663605369807849324,0.0
1663605370835349905,0.0
1663605371886804001,0.0
1663605372906907982,0.0
1663605373930458319,0.0
1663605374953698583,0.0
1663605375975102947,0.0
1663605377003706136,0.0
1663605378035083760,0.0
1663605379061646494,0.0
1663605380084001263,0.0
1663605381100731404,0.0
1663605382120398462,0.0
1663605383149516913,0.0
1663605384194343590,0.0
1663605385220410402,1.0
1663605386237834031,0.0
1663605387263168778,0.0
1663605388307178730,0.0
1663605389339916300,0.0
1663605390370484718,0.0
1663605391392158063,0.0
1663605392415862395,0.0
1663605393443747068,0.0
1663605394488854383,0.0
1663605395510941221,0.0
1663605396530476758,0.0
1663605397562322120,0.0
1663605398591973891,0.0
1663605399629508789,0.0
1663605400651716071,0.0
1663605401675748114,0.0
1663605402700021542,1.0
1663605403752731985,0.0
1663605404795218974,0.0
1663605405833021328,0.0
1663605406863210947,1.0
1663605407900380483,0.0
1663605408929049263,0.0
1663605409973872204,0.0
1663605411023304591,0.0
1663605412076559442,0.0
1663605413153058805,0.0
1663605414187171913,0.0
1663605415209865946,0.0
1663605416245258908,1.0
1663605417279521361,0.0
1663605418312693018,0.0
1663605419342101774,0.0
1663605420379619699,0.0
1663605421415591678,0.0
1663605422437925114,0.0
1663605423462605146,0.0
1663605424488746108,0.0
1663605425527970646,0.0
1663605426555797534,0.0
1663605427586483049,0.0
1663605428609755658,0.0
1663605429631117726,0.0
1663605430665031197,0.0
1663605431692848847,0.0
1663605432716184510,0.0
1663605433734808580,0.0
1663605434759659661,0.0
1663605435782832569,0.0
1663605436813600314,0.0
1663605437851677187,0.0
1663605438874835177,0.0
1663605439893344104,0.0
1663605440917639173,1.0
1663605441966142635,0.0
1663605442992702202,0.0
1663605444018466780,0.0
1663605445041307261,0.0
1663605446064267544,0.0
1663605447102756326,0.0
1663605448140982964,1.0
1663605449162540428,0.0
1663605450190423333,0.0
1663605451208111591,0.0
1663605452261853313,0.0
1663605453293911755,0.0
1663605454317857360,0.0
1663605455344402592,0.0
1663605456373090747,0.0
1663605457412631578,0.0
1663605458439969464,0.0
1663605459463768856,0.0
1663605460483559324,0.0
1663605461507420490,0.0
1663605462541476707,0.0
1663605463577723819,0.0
1663605464598313952,1.0
1663605465622590863,0.0
1663605466647572589,0.0
1663605467698739322,0.0
1663605468726118492,0.0
1663605469744244944,0.0
1663605470771315721,0.0
1663605471793579750,0.0
1663605472835428165,0.0
1663605473864478277,0.0
1663605474894532762,0.0
1663605475919125829,0.0
1663605476969755950,0.0
1663605477993951216,0.0
1663605479019536101,0.0
1663605480037243809,1.0
