rosbagTimestamp,data
1624528740854680224,12.3999996185
1624528741865931935,61.0999984741
1624528742899348187,58.2999992371
1624528743911649912,53.9000015259
1624528744947747326,56.4000015259
1624528745980163587,62.2000007629
1624528747008415748,66.6999969482
1624528748043332961,62.2000007629
1624528749073615958,48.5
1624528750097724424,43.7999992371
1624528751127100188,52.4000015259
1624528752156725751,38.7000007629
1624528753184870738,34.0
1624528754211407429,34.9000015259
1624528755250914173,36.7000007629
1624528756279251686,38.0
1624528757302737125,38.7999992371
1624528758333898539,39.0
1624528759367396809,38.9000015259
1624528760381358047,40.2000007629
1624528761411723471,39.7999992371
1624528762437873461,43.5999984741
1624528763477066968,35.7999992371
1624528764514317889,35.7999992371
1624528765547935462,35.9000015259
1624528766563432311,38.2000007629
1624528767596955221,38.7000007629
1624528768621357431,34.0999984741
1624528769644363128,39.2000007629
1624528770683179275,40.7000007629
1624528771700219201,45.2000007629
1624528772724741553,46.9000015259
1624528773753798680,36.0
1624528774774547948,34.2000007629
1624528775801953501,42.0
1624528776831100361,39.7000007629
1624528777859343035,40.7999992371
1624528778871814511,37.5
1624528779905074548,36.0
1624528780926782551,33.4000015259
1624528781948677424,33.0999984741
1624528782970172405,39.0
1624528784004325100,36.0999984741
1624528785032903449,32.0999984741
1624528786053349070,29.2999992371
1624528787070939761,25.3999996185
1624528788120235728,27.8999996185
1624528789131630025,25.5
1624528790164193759,27.2999992371
1624528791190053746,25.2999992371
1624528792201644918,29.5
1624528793230325142,30.2000007629
1624528794274871815,34.5
1624528795303783111,43.5999984741
1624528796329980328,44.7999992371
1624528797364642365,42.7999992371
1624528798380518217,34.2000007629
1624528799419027845,38.5
1624528800453884444,38.7000007629
1624528801474435712,43.0999984741
1624528802493858735,47.9000015259
1624528803533269116,46.4000015259
1624528804570198987,48.0999984741
1624528805598947517,40.7999992371
1624528806625660578,42.9000015259
1624528807647521861,37.0999984741
1624528808673170660,36.0999984741
1624528809710999637,39.9000015259
1624528810734422742,34.0999984741
1624528811757416898,26.3999996185
1624528812773810679,26.3999996185
1624528813815698291,23.0
1624528814849346226,27.2000007629
1624528815877039650,29.2000007629
1624528816893051997,33.2000007629
1624528817930169294,36.0
1624528818950956821,28.3999996185
1624528819978572884,29.8999996185
1624528821015173830,34.7999992371
1624528822051725979,32.9000015259
1624528823080867934,25.2000007629
1624528824100648523,27.3999996185
1624528825141759872,30.0
1624528826170716253,23.2999992371
1624528827180803936,25.7999992371
1624528828191590715,25.7000007629
1624528829202710427,31.5
1624528830237703140,27.1000003815
1624528831265979085,27.2000007629
1624528832301455839,27.2000007629
1624528833328256824,28.1000003815
1624528834361487816,29.2000007629
1624528835394154992,32.9000015259
1624528836419652101,25.2000007629
1624528837443648725,26.2999992371
1624528838473801702,29.1000003815
1624528839497814175,26.2999992371
1624528840535093483,24.2000007629
1624528841538826634,32.5999984741
1624528842560763677,28.6000003815
1624528843593052787,28.1000003815
1624528844611870879,36.4000015259
1624528845630307753,29.2999992371
1624528846662570240,24.2999992371
1624528847676870432,20.7999992371
1624528848696746597,24.2999992371
1624528849729769654,24.2999992371
1624528850755624475,28.2000007629
1624528851784263853,24.2999992371
1624528852821347822,21.3999996185
1624528853843741584,23.3999996185
1624528854885655414,24.8999996185
1624528855925594938,23.1000003815
1624528856955931505,27.2000007629
1624528857975941471,27.3999996185
1624528858996175683,22.7000007629
1624528860019013236,25.2999992371
1624528861051594119,27.2000007629
1624528862069595405,22.5
1624528863090000595,21.6000003815
1624528864126768946,21.2000007629
1624528865137963724,22.6000003815
1624528866157509346,24.2999992371
1624528867188253945,21.6000003815
1624528868216309204,23.5
1624528869237647982,25.2000007629
1624528870271673721,23.3999996185
1624528871305593394,21.3999996185
1624528872332528827,21.3999996185
1624528873354085272,23.3999996185
1624528874386204659,20.3999996185
1624528875401706471,22.7000007629
1624528876421591215,23.3999996185
1624528877443954121,23.3999996185
1624528878479039157,23.3999996185
1624528879497978599,25.5
1624528880517317283,25.3999996185
1624528881556116295,22.2000007629
1624528882591773745,22.2999992371
1624528883624827050,23.2000007629
1624528884649962039,23.3999996185
1624528885661577060,22.5
1624528886682246403,23.5
1624528887711856463,21.5
1624528888728686316,22.5
1624528889767813351,20.2999992371
1624528890796641473,22.3999996185
1624528891819160710,25.2999992371
1624528892866957141,19.2000007629
1624528893897025728,21.2999992371
1624528894926002892,25.2000007629
1624528895952444706,22.5
1624528896979771154,22.5
1624528898009271289,26.2000007629
1624528899035298924,24.2999992371
1624528900054977792,23.3999996185
1624528901084511461,29.2000007629
1624528902115353393,27.2999992371
1624528903155926943,24.1000003815
1624528904187681228,25.1000003815
1624528905219020394,24.3999996185
1624528906244445531,22.3999996185
1624528907255423636,22.6000003815
1624528908295482287,23.2000007629
1624528909306783525,20.6000003815
1624528910334995369,21.3999996185
1624528911383731105,25.7999992371
1624528912405023846,23.6000003815
1624528913427231881,26.2999992371
1624528914455922076,29.2999992371
1624528915485056425,28.0
1624528916536177624,35.2999992371
1624528917564449681,42.9000015259
1624528918593790907,46.5999984741
1624528919614420558,45.2999992371
1624528920630095546,44.7999992371
