rosbagTimestamp,data
1624528740854680224,6.5
1624528741875992637,14.8000001907
1624528742899348187,20.3999996185
1624528743924126923,15.6000003815
1624528744947747326,21.3999996185
1624528745980163587,16.5
1624528747018482240,17.3999996185
1624528748043332961,22.3999996185
1624528749073615958,20.2999992371
1624528750097724424,23.3999996185
1624528751127100188,15.5
1624528752166788643,21.2999992371
1624528753194933548,19.5
1624528754225056037,15.5
1624528755260940836,23.2999992371
1624528756279251686,16.5
1624528757316314700,20.3999996185
1624528758344123582,24.3999996185
1624528759367396809,19.5
1624528760392076670,27.3999996185
1624528761421784978,21.3999996185
1624528762447936017,25.2000007629
1624528763487263418,25.1000003815
1624528764514317889,18.3999996185
1624528765547935462,23.2999992371
1624528766573489079,28.3999996185
1624528767607014439,27.0
1624528768631414398,18.6000003815
1624528769654422768,27.3999996185
1624528770683179275,25.2000007629
1624528771700219201,16.7000007629
1624528772724741553,21.5
1624528773753798680,21.3999996185
1624528774774547948,15.6000003815
1624528775801953501,23.3999996185
1624528776831100361,16.3999996185
1624528777859343035,16.5
1624528778881935840,20.7000007629
1624528779905074548,17.5
1624528780926782551,24.5
1624528781948677424,22.3999996185
1624528782980243035,25.2999992371
1624528784004325100,33.2000007629
1624528785032903449,18.5
1624528786053349070,19.5
1624528787081001095,19.6000003815
1624528788120235728,19.2000007629
1624528789143110764,20.6000003815
1624528790164193759,21.5
1624528791190053746,23.2999992371
1624528792211707935,24.6000003815
1624528793230325142,18.5
1624528794274871815,23.8999996185
1624528795313844571,25.2000007629
1624528796329980328,28.2999992371
1624528797364642365,31.1000003815
1624528798390518651,20.5
1624528799419027845,25.1000003815
1624528800453884444,18.3999996185
1624528801474435712,22.5
1624528802503945312,26.3999996185
1624528803543327647,28.0
1624528804580371139,24.1000003815
1624528805609007844,17.5
1624528806635722903,27.2999992371
1624528807657578125,21.5
1624528808683208592,24.3999996185
1624528809710999637,23.3999996185
1624528810734422742,24.3999996185
1624528811757416898,19.6000003815
1624528812783872606,19.6000003815
1624528813825726208,21.1000003815
1624528814849346226,28.2000007629
1624528815877039650,21.5
1624528816903084247,20.3999996185
1624528817930169294,19.5
1624528818950956821,25.5
1624528819988656692,26.0
1624528821025206058,22.2000007629
1624528822051725979,21.2999992371
1624528823080867934,16.5
1624528824100648523,20.5
1624528825141759872,24.2000007629
1624528826170716253,17.5
1624528827180803936,26.7999992371
1624528828191590715,30.6000003815
1624528829212771626,20.7000007629
1624528830237703140,21.2999992371
1624528831276041334,15.5
1624528832301455839,22.2999992371
1624528833338319454,24.2000007629
1624528834361487816,22.3999996185
1624528835394154992,23.2000007629
1624528836419652101,19.3999996185
1624528837453716142,22.3999996185
1624528838483915930,28.1000003815
1624528839507874746,18.5
1624528840535093483,23.2999992371
1624528841538826634,13.8000001907
1624528842560763677,14.8000001907
1624528843593052787,21.3999996185
1624528844611870879,26.5
1624528845630307753,23.5
1624528846662570240,24.2999992371
1624528847676870432,20.7999992371
1624528848706808081,18.5
1624528849729769654,14.6000003815
1624528850765700914,24.2999992371
1624528851795716043,24.2999992371
1624528852821347822,19.3999996185
1624528853863801808,22.2000007629
1624528854895725212,28.0
1624528855935657667,19.2000007629
1624528856955931505,26.2999992371
1624528857985981730,21.5
1624528858996175683,22.7000007629
1624528860019013236,22.3999996185
1624528861051594119,22.3999996185
1624528862079654589,29.2999992371
1624528863100085894,18.6000003815
1624528864136832156,26.0
1624528865152527278,18.7000007629
1624528866177609754,18.5
1624528867199402755,24.6000003815
1624528868216309204,24.5
1624528869251590783,22.2999992371
1624528870281736398,26.2999992371
1624528871305593394,24.2999992371
1624528872332528827,21.3999996185
1624528873354085272,23.5
1624528874386204659,23.2000007629
1624528875401706471,24.7000007629
1624528876431654905,22.3999996185
1624528877457120830,25.2999992371
1624528878479039157,18.6000003815
1624528879497978599,23.6000003815
1624528880527379341,30.2000007629
1624528881566173011,27.8999996185
1624528882591773745,27.2000007629
1624528883624827050,20.2999992371
1624528884649962039,25.3999996185
1624528885671931034,33.2999992371
1624528886692327834,22.5
1624528887711856463,18.6000003815
1624528888738750843,29.3999996185
1624528889767813351,20.2999992371
1624528890796641473,32.0999984741
1624528891829233925,18.5
1624528892866957141,24.8999996185
1624528893907086167,18.2999992371
1624528894936078539,20.3999996185
1624528895952444706,22.5
1624528896979771154,18.5
1624528898009271289,19.3999996185
1624528899035298924,18.5
1624528900066701011,19.5
1624528901096317514,22.2999992371
1624528902115353393,17.6000003815
1624528903165984138,22.1000003815
1624528904197741492,16.5
1624528905219020394,20.5
1624528906244445531,22.3999996185
1624528907265482000,14.6999998093
1624528908295482287,21.2999992371
1624528909316924543,17.7000007629
1624528910334995369,19.3999996185
1624528911383731105,20.1000003815
1624528912405023846,19.6000003815
1624528913437322056,16.5
1624528914455922076,31.2999992371
1624528915495115371,28.0
1624528916546769903,29.5
1624528917564449681,21.5
1624528918593790907,24.2999992371
1624528919614420558,28.3999996185
1624528920641544455,32.2000007629
