rosbagTimestamp,data
1662665043024192255,14905344
1662665044049883905,14905344
1662665045075460894,14905344
1662665046101460847,14905344
1662665047124347329,14905344
1662665048146855549,14905344
1662665049170828977,14905344
1662665050195793384,14905344
1662665051220500485,14905344
1662665052244829185,14905344
1662665053268500937,14905344
1662665054290898114,14905344
1662665055318655059,14905344
1662665056343156236,14905344
1662665057384335749,14905344
1662665058412579004,25604096
1662665059432561748,26025984
1662665060457554208,28659712
1662665061477967239,30691328
1662665062506936890,30167040
1662665063533833414,27062272
1662665064558478774,26554368
1662665065580681762,27656192
1662665066603148152,28565504
1662665067624407153,26923008
1662665068644683301,29409280
1662665069667526684,27709440
1662665070687921788,30248960
1662665071709330506,29540352
1662665072736207799,28241920
1662665073765425366,29843456
1662665074791630113,27365376
1662665075812923097,29118464
1662665076831878114,29102080
1662665077854618101,29618176
1662665078874843672,34127872
1662665079893790251,27557888
1662665080911744422,30846976
1662665081932191703,27758592
1662665082953338803,29065216
1662665083972882323,30425088
1662665084993660382,26968064
1662665086011826104,31592448
1662665087031481346,28549120
1662665088057484812,29270016
1662665089088632968,29712384
1662665090110084483,32657408
1662665091135503053,30646272
1662665092154354649,28622848
1662665093175659913,30060544
1662665094193961599,30412800
1662665095213432364,30650368
1662665096232084990,28475392
1662665097255839244,29868032
1662665098275261638,29663232
1662665099293501207,30224384
1662665100312753831,29495296
1662665101332423568,28643328
1662665102350589831,31141888
1662665103370690085,28823552
1662665104399578101,26148864
1662665105421163891,27205632
1662665106447281673,31170560
1662665107469515815,28516352
1662665108492209107,28565504
1662665109511516329,29167616
1662665110528633692,28950528
1662665111546507009,27783168
1662665112563863357,28925952
1662665113581849304,29814784
1662665114602203577,28983296
1662665115627377741,31125504
1662665116645336159,33689600
1662665117668717220,28782592
1662665118686536777,30785536
1662665119706271335,30773248
1662665120738990840,30302208
1662665121765044483,28418048
1662665122788555749,32641024
1662665123814102265,32038912
1662665124834125011,33099776
1662665125851502125,31117312
1662665126877472859,29184000
1662665127905302476,31543296
1662665128929341595,32784384
1662665129947945456,34189312
1662665130967085825,27639808
1662665131990592182,30294016
1662665133009762557,30539776
1662665134027835554,35995648
1662665135048620057,33128448
1662665136073761006,29200384
1662665137097774233,32575488
1662665138116896209,34947072
1662665139141173252,32272384
1662665140159231045,38072320
1662665141189152903,33132544
1662665142208179960,33755136
1662665143225273169,30511104
1662665144242307969,32739328
1662665145259890811,31973376
1662665146282363145,32501760
1662665147302148541,31068160
1662665148321172200,32681984
1662665149340324694,32489472
1662665150359492983,29184000
1662665151380794991,33312768
1662665152404147435,33083392
1662665153426439255,33193984
1662665154458182316,28069888
1662665155482826130,33906688
1662665156501259862,31309824
1662665157518430015,27983872
1662665158538661418,33894400
1662665159558423649,26939392
1662665160579498037,29081600
1662665161598850829,29581312
1662665162619312569,29257728
1662665163637633948,30236672
1662665164656224202,28667904
1662665165673761341,27410432
1662665166696022218,31424512
1662665167719295412,28692480
1662665168744523724,29450240
1662665169767261947,30113792
1662665170784148135,27762688
1662665171810962648,28098560
1662665172837437573,28401664
1662665173855825572,27148288
