rosbagTimestamp,data
1662665043026305136,0.0
1662665044052856755,1.0
1662665045077689389,0.0
1662665046103462860,1.0
1662665047127212680,0.0
1662665048149248991,0.0
1662665049173569381,0.0
1662665050198368199,0.0
1662665051222697653,0.0
1662665052247683942,0.0
1662665053271311877,1.0
1662665054293758001,0.0
1662665055320857263,0.0
1662665056346016115,0.0
1662665057387197774,0.0
1662665058413582339,2.0
1662665059434643202,27.3999996185
1662665060459890835,25.3999996185
1662665061480238868,32.2999992371
1662665062512298396,37.7999992371
1662665063536492864,25.3999996185
1662665064560681527,36.0999984741
1662665065583129779,34.2000007629
1662665066605949673,39.0999984741
1662665067626664620,24.5
1662665068647275606,30.3999996185
1662665069669963773,22.5
1662665070691358258,47.0
1662665071720051647,24.3999996185
1662665072738648786,38.0999984741
1662665073775622648,37.5999984741
1662665074793689306,28.5
1662665075815706409,39.2000007629
1662665076834427602,26.5
1662665077857245203,40.0999984741
1662665078877075634,23.5
1662665079896048287,37.2999992371
1662665080914189892,28.5
1662665081934583541,32.2999992371
1662665082956973191,88.0999984741
1662665083975171095,48.0999984741
1662665084996331080,30.3999996185
1662665086014412377,44.2000007629
1662665087034819700,27.5
1662665088064618556,54.4000015259
1662665089094244635,26.2000007629
1662665090112391622,37.2999992371
1662665091138204221,42.9000015259
1662665092157800493,22.6000003815
1662665093178182179,32.2999992371
1662665094196256897,28.5
1662665095215687646,33.4000015259
1662665096236117416,18.6000003815
1662665097258346808,43.0
1662665098277745668,27.5
1662665099295918992,35.4000015259
1662665100315252670,33.4000015259
1662665101335508379,48.0
1662665102352951738,19.7000007629
1662665103373780095,43.0999984741
1662665104402607077,33.0
1662665105423848353,36.2000007629
1662665106450512687,27.2999992371
1662665107471824428,36.2000007629
1662665108495190325,36.2000007629
1662665109513834468,29.5
1662665110530918384,39.2999992371
1662665111548612432,26.5
1662665112566035269,34.4000015259
1662665113586146558,20.6000003815
1662665114605118920,44.2000007629
1662665115630090023,23.3999996185
1662665116647498902,40.2999992371
1662665117671395442,26.3999996185
1662665118689059639,40.2999992371
1662665119714781680,27.2999992371
1662665120741898038,44.7999992371
1662665121769374183,26.2999992371
1662665122790602592,36.2000007629
1662665123817602867,40.9000015259
1662665124836262687,22.6000003815
1662665125853910696,28.5
